Kürzel	OXA-23_C	NDM_C	OXA-40/58_C	OXA-23_j	NDM_j	OXA-40/58_J
A1	1	0	0	1	0	3
A11	1	0	1	1	0	3
A16	1	0	0	1	0	3
A17	1	0	0	1	0	3
A3	1	0	0	1	0	3
A4	0	0	0	0	0	3
B10	0	0	0	0	0	3
B11	0	0	0	0	0	3
B12	1	0	0	1	0	3
B13	0	0	0	0	0	3
B14	1	0	0	1	0	3
B16	0	0	0	0	0	3
B2	1	0	0	1	0	3
B20	0	0	0	0	0	3
B3	1	0	0	1	0	3
B4	1	0	0	1	0	3
B5	1	1	0	1	1	3
B6	1	0	0	1	0	3
B7	1	0	1	1	0	3
B8	0	0	0	0	0	3
B9	0	0	0	0	0	3
C1	1	0	0	1	1	3
C2	0	0	1	0	1	3
C3	1	0	0	1	1	3
C4	0	0	1	0	0	3
A10	0	0	1	3	3	3
A12	0	0	1	3	3	3
A14	0	0	1	3	3	3
A15	0	0	1	3	3	3
A18	0	0	1	3	3	3
A2	0	0	1	3	3	3
A5	0	0	1	3	3	3
A6	0	0	1	3	3	3
A7	0	0	1	3	3	3
A8	0	0	1	3	3	3
A9	0	0	1	3	3	3
B15	0	0	1	3	3	3
B17	0	0	1	3	3	3
B18	0	0	1	3	3	3
B19	0	0	1	3	3	3
