Kürzel	K	N	I	V	O
C22	0	0	0	0	0
D10	0	0	0	0	0
D12	0	0	0	0	0
D19	0	0	0	0	0
D2	0	0	0	0	0
D20	0	0	0	0	0
D4	1	0	0	0	0
D5	1	0	0	0	0
D6	0	0	0	0	1
D7	0	1	0	0	1
D9	0	1	0	0	1
E1	1	0	0	0	0
E10	0	0	0	0	1
E11	0	0	0	1	0
E12	0	0	0	1	0
E13	0	0	0	0	0
E14	0	0	0	0	0
E15	0	0	0	0	1
E16	0	1	0	0	0
E17	1	0	0	0	0
E18	0	1	0	0	0
E19	0	1	0	0	1
E2	0	0	0	1	0
E20	0	1	0	0	0
E21	0	0	0	1	0
E22	0	0	0	0	0
E23	0	0	1	0	0
E24	0	0	0	0	0
E3	1	0	0	0	0
E4	1	0	0	0	0
E5	0	0	1	0	0
E6	0	0	0	0	0
E7	0	1	0	0	0
E8	1	0	0	0	0
E9	0	0	0	1	0
F1	1	0	0	0	1
F10	0	1	0	0	0
F11	0	0	0	0	1
F12	0	1	0	0	0
F13	0	1	0	0	0
F14	0	0	0	0	1
F15	0	0	0	0	1
F16	0	0	0	0	1
F17	0	0	0	0	1
F18	0	0	0	0	1
F19	0	0	0	0	1
F2	0	0	0	0	1
F20	1	0	0	0	0
F21	0	1	0	0	0
F22	0	0	0	0	0
F23	1	0	0	0	0
F24	0	0	0	0	1
F25	0	0	0	0	0
F26	0	0	0	0	0
F3	0	0	0	0	1
F4	0	1	0	0	0
F5	0	1	0	0	0
F6	0	0	0	0	1
F7	0	0	0	1	0
F8	0	0	0	1	0
F9	0	1	0	0	0
